idVideo,features,category
44,1|0|0|0|0|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1,ojos
45,1|0|0|0|0|1|0|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1,ojos
46,1|0|0|0|0|1|1|1|1|0|1|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1,Laborales
47,1|0|0|0|0|1|1|1|0|0|1|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1,Laborales
48,1|0|0|0|0|1|1|0|1|0|1|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1,Laborales
49,1|0|0|0|0|1|1|1|1|0|1|0|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|1,Laborales extremidades
50,1|0|0|0|0|1|1|1|0|0|1|0|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|1,Laborales extremidades
51,1|0|0|0|0|1|1|0|1|0|1|0|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|1,Laborales extremidades
52,1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1,Laborales ojos
53,1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1,Extiramiento
54,1|0|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1,Extiramiento
55,1|0|0|0|0|1|1|1|0|1|0|1|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1,Extiramiento
56,1|0|0|0|0|1|1|0|1|1|0|1|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1,Extiramiento
57,1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1,Extiramiento musculos ojos
58,1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|0|1|0|1|1|1|1,relajación
59,1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1,Tecnica de relajación corporal
60,1|0|0|0|0|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1,Tecnica de relajación corporal
61,1|0|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1,Tecnica de relajación corporal
62,1|0|0|0|0|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1,Tecnica de relajación corporal
63,1|0|0|0|0|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|1,Tecnica de relajación corporal
64,0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1,relajación sonora
65,0|1|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1,relajación sonora
66,0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|1|1|1|1,higiene corporal
